SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2126,4,1,Rural,1969,215355.2836
2459,3,2,Rural,1980,195014.2216
1860,2,1,Suburb,1970,306891.0121
2294,2,1,Urban,1996,206786.7872
2130,5,2,Suburb,2001,272436.2
2095,2,3,Suburb,2020,198208.8039
2724,2,1,Suburb,1993,343429.3191
2044,4,3,Rural,1957,184992.3
2638,4,3,Urban,1959,377998.5882
1121,5,2,Urban,2004,95961.92601
1466,5,3,Suburb,1951,191113.7687
2238,3,3,Suburb,1987,253358.645
1330,2,2,Suburb,1992,132172.3926
2482,4,3,Suburb,1989,231157.0277
1087,4,1,Urban,1976,118393.8232
2396,2,2,Suburb,1993,267377.3997
2123,5,2,Rural,1956,190773.1486
1871,4,2,Suburb,1977,172989.8049
2687,5,1,Urban,1979,239222.6678
1130,4,3,Rural,1962,143050.2018
2685,4,3,Urban,1999,405523.8283
2332,3,3,Rural,1978,263954.1541
1769,4,1,Suburb,1963,148310.6202
1343,2,3,Rural,2013,151733.9225
2515,2,3,Urban,2013,307961.1074
2437,2,1,Rural,2004,276162.8618
1805,5,1,Rural,2002,243985.2055
1385,4,3,Rural,1996,88030.54185
2215,5,1,Urban,1952,282908.9817
1955,3,1,Rural,2014,240976.5518
1276,4,1,Rural,1965,104747.3346
2184,2,2,Suburb,1959,347207.3896
1459,3,2,Rural,2006,77493.93
2337,3,3,Suburb,2008,331851.0817
1021,4,3,Rural,2013,110408.6708
1252,2,1,Urban,1993,127932.7568
1747,5,3,Rural,1982,228683.227
1856,4,2,Rural,1959,124711.7079
2584,2,3,Suburb,2001,415850.7708
1474,3,3,Urban,1959,184819.9612
2082,4,2,Suburb,1966,164855.9878
1510,3,2,Suburb,2002,156928.0147
2705,2,1,Urban,1971,282457.8614
2499,5,1,Urban,2021,287591.6728
1699,5,1,Rural,1960,156313.5942
1975,3,3,Suburb,2016,279764.371
2806,3,3,Suburb,1962,366494.4806
1189,3,3,Urban,2007,244539.2817
1957,4,2,Rural,1994,239299.9945
1686,2,3,Urban,1994,249148.3447
1957,3,2,Rural,1992,304197.5798
1562,3,3,Rural,2013,89378.55062
2899,3,3,Rural,1988,427295.4046
2590,5,2,Suburb,1957,328501.8015
2267,3,2,Urban,1989,215867.419
1831,2,2,Rural,2000,190058.8929
2528,5,1,Urban,1969,259751.1544
2154,2,1,Rural,2015,166810.3887
2508,5,3,Suburb,2007,352932.1625
2842,5,3,Urban,2014,422042.9185
1646,4,3,Suburb,1994,91423.61965
1020,5,1,Rural,1983,220053.8604
1840,5,3,Suburb,1961,216148.2085
1166,2,2,Suburb,1972,161587.1537
2297,2,2,Urban,2017,194967.9095
1387,3,1,Rural,2002,152828.7203
1600,4,2,Rural,2002,256725.9809
1315,5,2,Suburb,1989,98039.3031
1013,4,3,Urban,2002,164858.1869
1241,3,2,Urban,1985,199373.1821
1776,4,2,Urban,2014,181245.4467
2369,5,1,Suburb,1963,209700.7185
1564,2,2,Rural,1983,163053.3921
1897,4,2,Rural,1975,304004.6899
2363,5,3,Urban,2004,308830.9397
1091,3,3,Urban,2012,194294
2390,5,3,Urban,2019,172777.3198
1955,4,1,Suburb,1995,197656.0703
2478,5,3,Urban,1986,273365.4991
2451,5,2,Rural,1972,216047.2181
1508,4,1,Urban,1965,149586.1531
1775,4,2,Suburb,1981,214171.0822
2966,3,2,Rural,1956,277419.0002
1034,5,3,Rural,1993,117295.3752
1205,2,1,Urban,1996,180760.8675
2104,4,1,Suburb,1954,202715.1601
2955,5,3,Rural,2012,378403.571
2585,2,1,Suburb,1961,257776.0924
2895,2,2,Suburb,2021,266046.8779
2411,5,1,Rural,1958,337645.6762
2025,5,2,Rural,1993,240145.9703
2021,5,1,Suburb,1971,92641.62211
2413,2,1,Urban,1995,152037.8828
1565,5,3,Rural,1957,149848.6164
2129,4,3,Urban,2005,220384.4345
2795,2,1,Rural,1977,305658.5639
2845,4,2,Urban,1996,318297.2566
2500,4,3,Rural,1984,230749.2763
